"Flume","Treatment","Order","Family","Type","Sample_Group","d15N","d13C"
"Flume 2","Crayfish","Amphipoda","Gammaridae","Prey","Benthic",7.246,-26.837
"Flume 2","Crayfish","Diptera","Chironomidae","Prey","Benthic",7.69,-25.917
"Flume 1","ALAN + Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic",7.265,-28.749
"Flume 2","Crayfish","Diptera","Chironomidae","Prey","Benthic",7.509,-26.137
"Flume 16","ALAN","Amphipoda","Gammaridae","Prey","Benthic",7.856,-26.412
"Flume 16","ALAN","Amphipoda","Gammaridae","Prey","Benthic",6.986,-25.987
"Flume 16","ALAN","Amphipoda","Gammaridae","Prey","Benthic",7.74,-26.476
"Flume 16","ALAN","Diptera","Chironomidae","Prey","Benthic",6.705,-25.677
"Flume 16","ALAN","Diptera","Chironomidae","Prey","Benthic",6.978,-26.274
"Flume 16","ALAN","Diptera","Chironomidae","Prey","Benthic",6.936,-25.794
"Flume 16","ALAN","Ephemeroptera","Ephemeroptera","Prey","Benthic",8.296,-28.975
"Flume 16","ALAN","Ephemeroptera","Ephemeroptera","Prey","Benthic",8.715,-28.043
"Flume 16","ALAN","Ephemeroptera","Ephemeroptera","Prey","Benthic",8.148,-30.098
"Flume 15","Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic",7.338,-28.923
"Flume 15","Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic",6.586,-30.719
"Flume 15","Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic",7.334,-29.527
"Flume 15","Crayfish","Diptera","Chironomidae","Prey","Benthic",7.168,-25.239
"Flume 15","Crayfish","Diptera","Chironomidae","Prey","Benthic",7.176,-26.665
"Flume 15","Crayfish","Amphipoda","Gammaridae","Prey","Benthic",7.429,-26.768
"Flume 15","Crayfish","Amphipoda","Gammaridae","Prey","Benthic",6.812,-26.003
"Flume 15","Crayfish","Amphipoda","Gammaridae","Prey","Benthic",7.609,-25.61
"Flume 14","ALAN + Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic",7.582,-28.779
"Flume 14","ALAN + Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic",8.197,-28.751
"Flume 14","ALAN + Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic",7.406,-28.949
"Flume 14","ALAN + Crayfish","Diptera","Chironomidae","Prey","Benthic",7.142,-26.202
"Flume 14","ALAN + Crayfish","Diptera","Chironomidae","Prey","Benthic",5.821,-26.588
"Flume 14","ALAN + Crayfish","Amphipoda","Gammaridae","Prey","Benthic",8.601,-26.632
"Flume 14","ALAN + Crayfish","Amphipoda","Gammaridae","Prey","Benthic",7.277,-26.257
"Flume 14","ALAN + Crayfish","Amphipoda","Gammaridae","Prey","Benthic",8.929,-26.454
"Flume 13","Control","Amphipoda","Gammaridae","Prey","Benthic",7.754,-26.507
"Flume 13","Control","Amphipoda","Gammaridae","Prey","Benthic",7.747,-26.046
"Flume 13","Control","Amphipoda","Gammaridae","Prey","Benthic",8.175,-26.834
"Flume 13","Control","Diptera","Chironomidae","Prey","Benthic",7.908,-26.407
"Flume 13","Control","Diptera","Chironomidae","Prey","Benthic",6.94,-26.044
"Flume 13","Control","Ephemeroptera","Ephemeroptera","Prey","Benthic",7.047,-27.894
"Flume 13","Control","Ephemeroptera","Ephemeroptera","Prey","Benthic",8.246,-29.453
"Flume 13","Control","Ephemeroptera","Ephemeroptera","Prey","Benthic",8.002,-28.485
"Flume 13","Control","Ephemeroptera","Ephemeroptera","Prey","Benthic",8.788,-29.32
"Flume 12","Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic",8.711,-30.175
"Flume 12","Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic",8.751,-29.726
"Flume 12","Crayfish","Diptera","Chironomidae","Prey","Benthic",6.912,-25.868
"Flume 12","Crayfish","Diptera","Chironomidae","Prey","Benthic",7.36475,-25.512875
"Flume 12","Crayfish","Diptera","Chironomidae","Prey","Benthic",7.10975,-25.596875
"Flume 12","Crayfish","Amphipoda","Gammaridae","Prey","Benthic",6.45675,-26.286875
"Flume 12","Crayfish","Amphipoda","Gammaridae","Prey","Benthic",7.72675,-26.777875
"Flume 12","Crayfish","Amphipoda","Gammaridae","Prey","Benthic",7.99275,-27.264875
"Flume 11","ALAN + Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic",8.02775,-27.804875
"Flume 11","ALAN + Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic",7.30575,-28.293875
"Flume 11","ALAN + Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic",7.74575,-28.206875
"Flume 11","ALAN + Crayfish","Diptera","Chironomidae","Prey","Benthic",7.11775,-25.923875
"Flume 11","ALAN + Crayfish","Diptera","Chironomidae","Prey","Benthic",7.10375,-25.988875
"Flume 11","ALAN + Crayfish","Diptera","Chironomidae","Prey","Benthic",7.14375,-25.591875
"Flume 11","ALAN + Crayfish","Amphipoda","Gammaridae","Prey","Benthic",6.56075,-25.982875
"Flume 11","ALAN + Crayfish","Amphipoda","Gammaridae","Prey","Benthic",7.20375,-26.825875
"Flume 11","ALAN + Crayfish","Amphipoda","Gammaridae","Prey","Benthic",7.28875,-26.307875
"Flume 10","Control","Ephemeroptera","Ephemeroptera","Prey","Benthic",9.25175,-31.639875
"Flume 10","Control","Ephemeroptera","Ephemeroptera","Prey","Benthic",9.23875,-32.818875
"Flume 10","Control","Ephemeroptera","Ephemeroptera","Prey","Benthic",8.78475,-30.239875
"Flume 10","Control","Diptera","Chironomidae","Prey","Benthic",7.85875,-25.731875
"Flume 10","Control","Diptera","Chironomidae","Prey","Benthic",7.77375,-26.375875
"Flume 10","Control","Diptera","Chironomidae","Prey","Benthic",7.77875,-26.086875
"Flume 10","Control","Amphipoda","Gammaridae","Prey","Benthic",7.83875,-26.319875
"Flume 10","Control","Amphipoda","Gammaridae","Prey","Benthic",7.64175,-26.681875
"Flume 10","Control","Amphipoda","Gammaridae","Prey","Benthic",9.26775,-26.501875
"Flume 9","ALAN","Ephemeroptera","Ephemeroptera","Prey","Benthic",6.76175,-26.550875
"Flume 9","ALAN","Ephemeroptera","Ephemeroptera","Prey","Benthic",7.29475,-28.066875
"Flume 9","ALAN","Ephemeroptera","Ephemeroptera","Prey","Benthic",7.30871428571429,-27.1002857142857
"Flume 9","ALAN","Diptera","Chironomidae","Prey","Benthic",5.05771428571429,-26.6112857142857
"Flume 9","ALAN","Diptera","Chironomidae","Prey","Benthic",6.66571428571429,-25.9082857142857
"Flume 9","ALAN","Diptera","Chironomidae","Prey","Benthic",7.72271428571429,-26.9042857142857
"Flume 9","ALAN","Amphipoda","Gammaridae","Prey","Benthic",7.56771428571429,-25.9862857142857
"Flume 9","ALAN","Amphipoda","Gammaridae","Prey","Benthic",7.06771428571429,-26.1982857142857
"Flume 9","ALAN","Amphipoda","Gammaridae","Prey","Benthic",8.03071428571429,-26.4292857142857
"Flume 1","ALAN + Crayfish","Amphipoda","Gammaridae","Prey","Benthic",7.44571428571429,-26.2532857142857
"Flume 1","ALAN + Crayfish","Amphipoda","Gammaridae","Prey","Benthic",8.53071428571429,-26.6452857142857
"Flume 1","ALAN + Crayfish","Amphipoda","Gammaridae","Prey","Benthic",8.57471428571429,-26.8532857142857
"Flume 1","ALAN + Crayfish","Diptera","Chironomidae","Prey","Benthic",7.67671428571429,-26.0692857142857
"Flume 1","ALAN + Crayfish","Diptera","Chironomidae","Prey","Benthic",6.43871428571429,-26.4652857142857
"Flume 1","ALAN + Crayfish","Diptera","Chironomidae","Prey","Benthic",7.44671428571429,-26.3182857142857
"Flume 1","ALAN + Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic",8.30971428571429,-27.5972857142857
"Flume 1","ALAN + Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic",7.50571428571429,-27.9832857142857
"Flume 1","ALAN + Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic",7.37271428571429,-29.7222857142857
"Flume 2","Crayfish","Amphipoda","Gammaridae","Prey","Benthic",7.43771428571429,-26.3692857142857
"Flume 2","Crayfish","Amphipoda","Gammaridae","Prey","Benthic",6.87271428571429,-25.2642857142857
"Flume 2","Crayfish","Amphipoda","Gammaridae","Prey","Benthic",7.08771428571429,-25.3742857142857
"Flume 2","Crayfish","Diptera","Chironomidae","Prey","Benthic",7.64671428571429,-25.5672857142857
"Flume 2","Crayfish","Diptera","Chironomidae","Prey","Benthic",7.63371428571429,-25.6992857142857
"Flume 2","Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic",7.97271428571429,-28.0882857142857
"Flume 2","Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic",8.81371428571429,-30.1652857142857
"Flume 3","ALAN","Amphipoda","Gammaridae","Prey","Benthic",6.64071428571429,-25.4332857142857
"Flume 3","ALAN","Amphipoda","Gammaridae","Prey","Benthic",8.04971428571429,-26.6912857142857
"Flume 3","ALAN","Amphipoda","Gammaridae","Prey","Benthic",7.59171428571429,-27.3492857142857
"Flume 3","ALAN","Diptera","Chironomidae","Prey","Benthic",7.18971428571429,-25.2382857142857
"Flume 3","ALAN","Diptera","Chironomidae","Prey","Benthic",7.65571428571429,-26.2182857142857
"Flume 3","ALAN","Diptera","Chironomidae","Prey","Benthic",7.33371428571429,-25.3832857142857
"Flume 3","ALAN","Ephemeroptera","Ephemeroptera","Prey","Benthic",7.89671428571429,-27.4232857142857
"Flume 3","ALAN","Ephemeroptera","Ephemeroptera","Prey","Benthic",8.24771428571428,-30.3242857142857
"Flume 3","ALAN","Ephemeroptera","Ephemeroptera","Prey","Benthic",9.08471428571429,-27.3262857142857
"Flume 4","Control","Amphipoda","Gammaridae","Prey","Benthic",7.51971428571429,-26.0652857142857
"Flume 4","Control","Amphipoda","Gammaridae","Prey","Benthic",7.06371428571429,-25.9682857142857
"Flume 4","Control","Amphipoda","Gammaridae","Prey","Benthic",6.57871428571429,-26.6992857142857
"Flume 4","Control","Diptera","Chironomidae","Prey","Benthic",7.07371428571429,-25.9352857142857
"Flume 4","Control","Diptera","Chironomidae","Prey","Benthic",7.63571428571429,-25.2832857142857
"Flume 4","Control","Diptera","Chironomidae","Prey","Benthic",6.23171428571429,-25.9082857142857
"Flume 4","Control","Ephemeroptera","Ephemeroptera","Prey","Benthic",6.93471428571429,-28.7822857142857
"Flume 5","Crayfish","Amphipoda","Gammaridae","Prey","Benthic",6.99871428571429,-25.6552857142857
"Flume 5","Crayfish","Amphipoda","Gammaridae","Prey","Benthic",7.56971428571429,-26.1712857142857
"Flume 5","Crayfish","Amphipoda","Gammaridae","Prey","Benthic",6.76371428571429,-25.8612857142857
"Flume 5","Crayfish","Diptera","Chironomidae","Prey","Benthic",7.50471428571429,-25.8632857142857
"Flume 5","Crayfish","Diptera","Chironomidae","Prey","Benthic",7.46371428571429,-25.5582857142857
"Flume 5","Crayfish","Diptera","Chironomidae","Prey","Benthic",7.52471428571429,-25.1552857142857
"Flume 5","Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic",8.81871428571429,-28.2842857142857
"Flume 5","Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic",7.69971428571429,-26.8812857142857
"Flume 5","Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic",8.06071428571429,-27.8022857142857
"Flume 6","ALAN","Amphipoda","Gammaridae","Prey","Benthic",7.39871428571429,-25.4252857142857
"Flume 6","ALAN","Amphipoda","Gammaridae","Prey","Benthic",7.86771428571429,-26.8242857142857
"Flume 6","ALAN","Amphipoda","Gammaridae","Prey","Benthic",6.57771428571429,-26.3002857142857
"Flume 6","ALAN","Diptera","Chironomidae","Prey","Benthic",7.45671428571429,-25.6812857142857
"Flume 6","ALAN","Diptera","Chironomidae","Prey","Benthic",6.95071428571429,-26.1542857142857
"Flume 6","ALAN","Diptera","Chironomidae","Prey","Benthic",7.45171428571429,-25.6162857142857
"Flume 6","ALAN","Ephemeroptera","Ephemeroptera","Prey","Benthic",7.55571428571429,-29.4752857142857
"Flume 6","ALAN","Ephemeroptera","Ephemeroptera","Prey","Benthic",7.22171428571429,-28.2172857142857
"Flume 7","Control","Amphipoda","Gammaridae","Prey","Benthic",6.08871428571429,-26.2002857142857
"Flume 7","Control","Amphipoda","Gammaridae","Prey","Benthic",7.38871428571429,-26.5742857142857
"Flume 7","Control","Amphipoda","Gammaridae","Prey","Benthic",8.12071428571429,-27.3152857142857
"Flume 7","Control","Diptera","Chironomidae","Prey","Benthic",7.50371428571429,-25.5722857142857
"Flume 7","Control","Diptera","Chironomidae","Prey","Benthic",5.87708333333333,-25.7625
"Flume 7","Control","Diptera","Chironomidae","Prey","Benthic",6.87608333333333,-25.9645
"Flume 7","Control","Ephemeroptera","Ephemeroptera","Prey","Benthic",7.01608333333333,-27.3245
"Flume 7","Control","Ephemeroptera","Ephemeroptera","Prey","Benthic",8.75608333333333,-30.5815
"Flume 7","Control","Ephemeroptera","Ephemeroptera","Prey","Benthic",8.35308333333333,-30.8985
"Flume 8","ALAN + Crayfish","Amphipoda","Gammaridae","Prey","Benthic",7.04308333333333,-26.2595
"Flume 8","ALAN + Crayfish","Amphipoda","Gammaridae","Prey","Benthic",8.52008333333333,-26.6205
"Flume 8","ALAN + Crayfish","Amphipoda","Gammaridae","Prey","Benthic",7.76708333333333,-25.3045
"Flume 8","ALAN + Crayfish","Diptera","Chironomidae","Prey","Benthic",5.39908333333333,-26.6455
"Flume 8","ALAN + Crayfish","Diptera","Chironomidae","Prey","Benthic",7.00308333333333,-25.2405
"Flume 8","ALAN + Crayfish","Diptera","Chironomidae","Prey","Benthic",6.41008333333333,-26.1255
"Flume 8","ALAN + Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic",7.60808333333333,-28.4915
"Flume 8","ALAN + Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic",8.28408333333334,-28.5045
"Flume 8","ALAN + Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic",8.25308333333333,-28.9325
"Flume 9","ALAN","Diptera","Simuliidae","Prey","Benthic",4.87624349619157,-26.547509763704
"Flume 9","ALAN","Diptera","Simuliidae","Prey","Benthic",4.67795358522471,-26.3762183428516
"Flume 9","ALAN","Diptera","Simuliidae","Prey","Benthic",4.79079596037873,-26.6318212928948
"Flume 16","ALAN","Diptera","Simuliidae","Prey","Benthic",4.49336008644369,-26.64844667532
"Flume 16","ALAN","Diptera","Simuliidae","Prey","Benthic",4.43232562427644,-26.7340733974178
"Flume 16","ALAN","Diptera","Simuliidae","Prey","Benthic",4.45213681994561,-26.8584530957571
"Flume 3","ALAN","Diptera","Simuliidae","Prey","Benthic",4.89308312013432,-26.4130111669351
"Flume 3","ALAN","Diptera","Simuliidae","Prey","Benthic",4.82573078484556,-26.5171640780195
"Flume 3","ALAN","Diptera","Simuliidae","Prey","Benthic",5.03789225366832,-26.4805952536741
"Flume 6","ALAN","Diptera","Simuliidae","Prey","Benthic",4.83935847564528,-26.7790828011322
"Flume 6","ALAN","Diptera","Simuliidae","Prey","Benthic",4.65080550782247,-26.5152221575793
"Flume 6","ALAN","Diptera","Simuliidae","Prey","Benthic",4.54274596446648,-26.577510350347
"Flume 5","Crayfish","Diptera","Simuliidae","Prey","Benthic",4.67488693781981,-26.5776221314415
"Flume 5","Crayfish","Diptera","Simuliidae","Prey","Benthic",4.85638396596635,-26.5366286082142
"Flume 5","Crayfish","Diptera","Simuliidae","Prey","Benthic",4.76453696841892,-26.5757068150705
"Flume 12","Crayfish","Diptera","Simuliidae","Prey","Benthic",4.7982937788848,-26.5434898882574
"Flume 12","Crayfish","Diptera","Simuliidae","Prey","Benthic",5.07258271609327,-26.6868170435649
"Flume 12","Crayfish","Diptera","Simuliidae","Prey","Benthic",4.96344432499427,-26.5056594486438
"Flume 15","Crayfish","Diptera","Simuliidae","Prey","Benthic",4.62376516521986,-26.8221637494662
"Flume 15","Crayfish","Diptera","Simuliidae","Prey","Benthic",4.63400657125151,-26.8665146351373
"Flume 15","Crayfish","Diptera","Simuliidae","Prey","Benthic",4.4628859523174,-26.642594374361
"Flume 2","Crayfish","Diptera","Simuliidae","Prey","Benthic",4.8085111376775,-26.4571993558817
"Flume 2","Crayfish","Diptera","Simuliidae","Prey","Benthic",4.93222585691212,-26.5276976741042
"Flume 2","Crayfish","Diptera","Simuliidae","Prey","Benthic",5.12018507105113,-26.5349110445646
"Flume 7","Control","Diptera","Simuliidae","Prey","Benthic",5.02535378126695,-26.9436839171397
"Flume 7","Control","Diptera","Simuliidae","Prey","Benthic",5.00452845349519,-27.0110534187376
"Flume 7","Control","Diptera","Simuliidae","Prey","Benthic",4.91575655195036,-26.929445168857
"Flume 4","Control","Diptera","Simuliidae","Prey","Benthic",4.69558976333211,-26.4025703993139
"Flume 4","Control","Diptera","Simuliidae","Prey","Benthic",4.93923891477011,-26.4451242265421
"Flume 4","Control","Diptera","Simuliidae","Prey","Benthic",4.77564542264355,-26.520310262519
"Flume 10","Control","Diptera","Simuliidae","Prey","Benthic",4.99847247467735,-26.4807655416105
"Flume 10","Control","Diptera","Simuliidae","Prey","Benthic",4.9994543093724,-26.7717299149946
"Flume 10","Control","Diptera","Simuliidae","Prey","Benthic",4.86945306667951,-26.6482248040628
"Flume 13","Control","Diptera","Simuliidae","Prey","Benthic",4.94664699800726,-26.7242536958365
"Flume 13","Control","Diptera","Simuliidae","Prey","Benthic",4.78303878228161,-26.8391974034029
"Flume 13","Control","Diptera","Simuliidae","Prey","Benthic",4.79186640345187,-26.7870535453896
"Flume 14","ALAN + Crayfish","Diptera","Simuliidae","Prey","Benthic",4.33131129295113,-27.8877394513584
"Flume 14","ALAN + Crayfish","Diptera","Simuliidae","Prey","Benthic",4.61720959136299,-27.8914807087491
"Flume 14","ALAN + Crayfish","Diptera","Simuliidae","Prey","Benthic",4.54058080418737,-28.0982489369444
"Flume 1","ALAN + Crayfish","Diptera","Simuliidae","Prey","Benthic",4.37402176206156,-27.1735383166164
"Flume 1","ALAN + Crayfish","Diptera","Simuliidae","Prey","Benthic",4.47769078682267,-27.2967079705289
"Flume 1","ALAN + Crayfish","Diptera","Simuliidae","Prey","Benthic",4.39387207394625,-27.2201859767358
"Flume 8","ALAN + Crayfish","Diptera","Simuliidae","Prey","Benthic",4.3875623137979,-26.7614728537888
"Flume 8","ALAN + Crayfish","Diptera","Simuliidae","Prey","Benthic",4.51428778349236,-26.3723524096543
"Flume 8","ALAN + Crayfish","Diptera","Simuliidae","Prey","Benthic",4.37490347339861,-26.6915512829745
"Flume 11","ALAN + Crayfish","Diptera","Simuliidae","Prey","Benthic",4.41883028716407,-27.3307505858082
"Flume 11","ALAN + Crayfish","Diptera","Simuliidae","Prey","Benthic",4.45434422793914,-27.336748337031
"Flume 11","ALAN + Crayfish","Diptera","Simuliidae","Prey","Benthic",4.46245167689261,-27.1290901395479
